invoice_id,account_id,invoice_date,amount_usd,discount_pct,days_to_pay
INV-ACC-1000-202505,ACC-1000,2025-05-27,24908.83,0.0125,30
INV-ACC-1000-202506,ACC-1000,2025-06-25,26912.75,0.1459,6
INV-ACC-1000-202507,ACC-1000,2025-07-28,28702.54,0.0741,30
INV-ACC-1000-202508,ACC-1000,2025-08-24,31496.5,0.094,26
INV-ACC-1000-202509,ACC-1000,2025-09-28,33016.95,0.0357,9
INV-ACC-1000-202510,ACC-1000,2025-10-23,35562.8,0.0617,6
INV-ACC-1000-202511,ACC-1000,2025-11-24,38713.11,0.1351,8
INV-ACC-1000-202512,ACC-1000,2025-12-24,40295.55,0.0459,14
INV-ACC-1001-202412,ACC-1001,2024-12-24,11361.02,0.1556,13
INV-ACC-1001-202501,ACC-1001,2025-01-24,11518.71,0.0427,28
INV-ACC-1001-202502,ACC-1001,2025-02-26,12284.54,0.0864,11
INV-ACC-1001-202503,ACC-1001,2025-03-25,13197.97,0.1566,20
INV-ACC-1001-202504,ACC-1001,2025-04-26,12860.02,0.1306,20
INV-ACC-1001-202505,ACC-1001,2025-05-22,13833.42,0.1328,28
INV-ACC-1001-202506,ACC-1001,2025-06-23,14354.17,0.103,12
INV-ACC-1001-202507,ACC-1001,2025-07-22,15434.02,0.1412,15
INV-ACC-1001-202508,ACC-1001,2025-08-22,16591.17,0.0329,24
INV-ACC-1001-202509,ACC-1001,2025-09-26,18023.91,0.1067,31
INV-ACC-1001-202510,ACC-1001,2025-10-24,20285.58,0.0215,25
INV-ACC-1001-202511,ACC-1001,2025-11-27,19831.75,0.1072,33
INV-ACC-1001-202512,ACC-1001,2025-12-25,22411.42,0.0481,7
INV-ACC-1002-202508,ACC-1002,2025-08-22,2810.43,0.0619,29
INV-ACC-1002-202509,ACC-1002,2025-09-22,3054.36,0.0727,27
INV-ACC-1002-202510,ACC-1002,2025-10-22,3444.9,0.0904,17
INV-ACC-1002-202511,ACC-1002,2025-11-24,3466.12,0.0993,17
INV-ACC-1002-202512,ACC-1002,2025-12-27,3781.4,0.1488,14
INV-ACC-1003-202411,ACC-1003,2024-11-25,38908.74,0.1409,32
INV-ACC-1003-202412,ACC-1003,2024-12-26,39215.3,0.0121,14
INV-ACC-1003-202501,ACC-1003,2025-01-24,39202.1,0.1311,29
INV-ACC-1003-202502,ACC-1003,2025-02-24,38966.7,0.1039,24
INV-ACC-1003-202503,ACC-1003,2025-03-26,38148.36,0.0282,23
INV-ACC-1003-202504,ACC-1003,2025-04-23,35970.32,0.0305,6
INV-ACC-1003-202505,ACC-1003,2025-05-22,35950.89,0.1564,22
INV-ACC-1003-202506,ACC-1003,2025-06-25,33470.14,0.0571,9
INV-ACC-1003-202507,ACC-1003,2025-07-23,34048.25,0.0165,4
INV-ACC-1003-202508,ACC-1003,2025-08-27,32667.48,0.0262,13
INV-ACC-1003-202509,ACC-1003,2025-09-24,31928.33,0.0376,6
INV-ACC-1003-202510,ACC-1003,2025-10-23,30253.45,0.0605,30
INV-ACC-1003-202511,ACC-1003,2025-11-28,32555.18,0.0357,12
INV-ACC-1003-202512,ACC-1003,2025-12-23,32089.0,0.0966,23
INV-ACC-1004-202410,ACC-1004,2024-10-24,17019.55,0.1154,23
INV-ACC-1004-202411,ACC-1004,2024-11-23,17462.02,0.1446,14
INV-ACC-1004-202412,ACC-1004,2024-12-24,17561.08,0.0844,26
INV-ACC-1004-202501,ACC-1004,2025-01-26,20638.88,0.1548,18
INV-ACC-1004-202502,ACC-1004,2025-02-22,19528.32,0.0763,15
INV-ACC-1004-202503,ACC-1004,2025-03-25,20990.03,0.1243,23
INV-ACC-1004-202504,ACC-1004,2025-04-25,22280.93,0.0175,13
INV-ACC-1004-202505,ACC-1004,2025-05-22,24499.78,0.1095,23
INV-ACC-1004-202506,ACC-1004,2025-06-22,24791.1,0.108,27
INV-ACC-1004-202507,ACC-1004,2025-07-28,25023.32,0.035,26
INV-ACC-1004-202508,ACC-1004,2025-08-26,28429.76,0.1533,6
INV-ACC-1004-202509,ACC-1004,2025-09-24,30011.33,0.0596,7
INV-ACC-1004-202510,ACC-1004,2025-10-28,34610.48,0.0822,29
INV-ACC-1004-202511,ACC-1004,2025-11-22,33230.74,0.0405,7
INV-ACC-1004-202512,ACC-1004,2025-12-24,33254.32,0.057,32
INV-ACC-1005-202403,ACC-1005,2024-03-22,4296.41,0.0156,12
INV-ACC-1005-202404,ACC-1005,2024-04-26,4763.74,0.0939,22
INV-ACC-1005-202405,ACC-1005,2024-05-22,4970.6,0.1517,24
INV-ACC-1005-202406,ACC-1005,2024-06-22,5632.41,0.0629,24
INV-ACC-1005-202407,ACC-1005,2024-07-22,6106.28,0.0269,23
INV-ACC-1005-202408,ACC-1005,2024-08-22,6262.72,0.1458,27
INV-ACC-1005-202409,ACC-1005,2024-09-24,6483.48,0.0142,24
INV-ACC-1005-202410,ACC-1005,2024-10-23,6705.84,0.1207,5
INV-ACC-1005-202411,ACC-1005,2024-11-27,6629.75,0.0474,13
INV-ACC-1005-202412,ACC-1005,2024-12-23,6975.07,0.0769,29
INV-ACC-1005-202501,ACC-1005,2025-01-22,7634.21,0.115,21
INV-ACC-1005-202502,ACC-1005,2025-02-22,8100.31,0.0566,6
INV-ACC-1005-202503,ACC-1005,2025-03-27,9110.92,0.0948,13
INV-ACC-1005-202504,ACC-1005,2025-04-28,8888.44,0.0555,14
INV-ACC-1005-202505,ACC-1005,2025-05-24,8896.78,0.0631,20
INV-ACC-1005-202506,ACC-1005,2025-06-27,9616.62,0.1411,8
INV-ACC-1005-202507,ACC-1005,2025-07-25,10072.71,0.0341,24
INV-ACC-1005-202508,ACC-1005,2025-08-28,9367.53,0.0202,18
INV-ACC-1005-202509,ACC-1005,2025-09-25,10202.63,0.1186,13
INV-ACC-1005-202510,ACC-1005,2025-10-26,11323.42,0.1391,3
INV-ACC-1005-202511,ACC-1005,2025-11-28,11296.68,0.0624,12
INV-ACC-1005-202512,ACC-1005,2025-12-27,12631.95,0.0595,20
INV-ACC-1006-202501,ACC-1006,2025-01-28,22150.45,0.0508,21
INV-ACC-1006-202502,ACC-1006,2025-02-26,20741.78,0.0136,33
INV-ACC-1006-202503,ACC-1006,2025-03-28,21808.66,0.0787,24
INV-ACC-1006-202504,ACC-1006,2025-04-27,22442.58,0.0588,4
INV-ACC-1006-202505,ACC-1006,2025-05-22,22269.19,0.1132,4
INV-ACC-1006-202506,ACC-1006,2025-06-22,19753.34,0.0754,6
INV-ACC-1006-202507,ACC-1006,2025-07-26,19592.39,0.0988,18
INV-ACC-1006-202508,ACC-1006,2025-08-22,18762.32,0.1153,28
INV-ACC-1006-202509,ACC-1006,2025-09-22,18238.66,0.0808,25
INV-ACC-1006-202510,ACC-1006,2025-10-28,18995.91,0.0746,23
INV-ACC-1006-202511,ACC-1006,2025-11-25,18948.91,0.1507,9
INV-ACC-1006-202512,ACC-1006,2025-12-24,18475.75,0.1312,18
INV-ACC-1007-202404,ACC-1007,2024-04-23,13907.03,0.0737,30
INV-ACC-1007-202405,ACC-1007,2024-05-26,15775.27,0.0492,13
INV-ACC-1007-202406,ACC-1007,2024-06-23,14466.45,0.063,10
INV-ACC-1007-202407,ACC-1007,2024-07-24,15814.33,0.1252,9
INV-ACC-1007-202408,ACC-1007,2024-08-26,15861.59,0.0237,24
INV-ACC-1007-202409,ACC-1007,2024-09-22,15439.55,0.0415,7
INV-ACC-1007-202410,ACC-1007,2024-10-26,15896.6,0.0725,15
INV-ACC-1007-202411,ACC-1007,2024-11-23,15192.0,0.0316,8
INV-ACC-1007-202412,ACC-1007,2024-12-25,15589.39,0.0535,28
INV-ACC-1007-202501,ACC-1007,2025-01-24,16720.33,0.0507,27
INV-ACC-1007-202502,ACC-1007,2025-02-22,15274.41,0.04,28
INV-ACC-1007-202503,ACC-1007,2025-03-22,15230.68,0.108,13
INV-ACC-1007-202504,ACC-1007,2025-04-28,16559.83,0.1577,13
INV-ACC-1007-202505,ACC-1007,2025-05-24,17495.28,0.1558,29
INV-ACC-1007-202506,ACC-1007,2025-06-24,18137.96,0.1582,7
INV-ACC-1007-202507,ACC-1007,2025-07-24,18957.23,0.1098,12
INV-ACC-1007-202508,ACC-1007,2025-08-23,17755.07,0.126,23
