metric_month,account_id,arr_usd,active_flag,seats_purchased,active_seats,feature_adoption_pct,support_tickets,csat_score,renewal_due_in_days
2025-05,ACC-1000,306551.0,1,295,225,0.3947,7,79.69,365
2025-06,ACC-1000,329568.31,1,288,192,0.4044,8,64.95,335
2025-07,ACC-1000,354355.04,1,276,251,0.6623,0,89.48,305
2025-08,ACC-1000,379259.36,1,269,252,0.6443,3,88.68,275
2025-09,ACC-1000,401991.55,1,233,129,0.7876,0,73.84,245
2025-10,ACC-1000,426677.45,1,302,221,0.4145,3,83.85,215
2025-11,ACC-1000,459905.08,1,275,143,0.3784,4,87.33,185
2025-12,ACC-1000,473179.51,1,286,148,0.7108,5,69.52,155
2024-12,ACC-1001,135855.0,1,100,89,0.4941,9,71.84,365
2025-01,ACC-1001,140993.12,1,93,84,0.7443,0,70.76,335
2025-02,ACC-1001,148199.31,1,92,68,0.8373,7,70.52,305
2025-03,ACC-1001,161440.75,1,93,52,0.7766,2,86.41,275
2025-04,ACC-1001,160456.01,1,83,47,0.8916,1,71.12,245
2025-05,ACC-1001,168990.78,1,100,67,0.6308,8,71.38,215
2025-06,ACC-1001,175825.95,1,99,43,0.473,6,87.09,185
2025-07,ACC-1001,184299.91,1,107,58,0.8532,1,82.4,155
2025-08,ACC-1001,202757.21,1,100,77,0.6267,4,83.98,125
2025-09,ACC-1001,211118.47,1,104,40,0.8043,3,67.75,95
2025-10,ACC-1001,235142.72,1,87,54,0.5432,10,69.19,65
2025-11,ACC-1001,239181.85,1,97,65,0.5824,2,78.08,35
2025-12,ACC-1001,264626.47,1,99,45,0.7018,9,63.27,365
2025-08,ACC-1002,35068.0,1,25,18,0.7356,2,71.29,365
2025-09,ACC-1002,37698.83,1,33,31,0.6476,0,92.06,335
2025-10,ACC-1002,41314.6,1,32,13,0.4039,4,68.23,305
2025-11,ACC-1002,41179.15,1,30,24,0.3134,5,68.71,275
2025-12,ACC-1002,44051.55,1,26,21,0.3713,6,89.09,245
2024-11,ACC-1003,460924.0,1,248,106,0.5692,8,63.67,365
2024-12,ACC-1003,462288.19,1,281,153,0.4393,3,88.21,335
2025-01,ACC-1003,457647.82,1,244,198,0.3572,9,75.65,305
